epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7097,1.86642,10.4334,0.0092,0.49355,0.46763,0.47757,0.22178,1.86764,2.27932,0.01028,0.000472779,0.000472779,0.000472779
2,102.028,2.04647,2.63155,0.0112,0.48238,0.45915,0.42807,0.18338,2.0945,2.27005,0.01244,0.000944414,0.000944414,0.000944414
3,145.53,2.14996,2.41374,0.01233,0.50949,0.39784,0.41566,0.18747,2.05889,2.21395,0.0119,0.00141133,0.00141133,0.00141133
4,190.13,2.1882,2.27718,0.01264,0.59496,0.45504,0.47799,0.22329,2.06833,1.99391,0.0129,0.00140778,0.00140778,0.00140778
5,233.299,2.13035,2.19569,0.01249,0.56511,0.47032,0.49568,0.21288,2.15601,2.19015,0.01245,0.00140071,0.00140071,0.00140071
6,278.197,2.14289,2.07597,0.01211,0.56764,0.44631,0.47083,0.20611,2.12126,2.04406,0.01258,0.00139363,0.00139363,0.00139363
7,325.656,2.03641,1.97191,0.01085,0.53079,0.59124,0.59668,0.27401,1.93233,1.69549,0.01163,0.00138656,0.00138656,0.00138656
8,371.23,2.01466,1.88685,0.01129,0.65227,0.59759,0.6234,0.31724,1.86288,1.4253,0.01158,0.00137949,0.00137949,0.00137949
9,416.758,2.04234,1.87463,0.01122,0.49971,0.53426,0.49011,0.24092,1.88419,1.77998,0.01018,0.00137241,0.00137241,0.00137241
10,462.561,1.98688,1.77433,0.01109,0.62983,0.5605,0.57728,0.28344,1.8811,1.63999,0.01097,0.00136534,0.00136534,0.00136534
11,508.609,1.99796,1.78535,0.0104,0.67905,0.63012,0.65372,0.30319,1.8818,1.49371,0.01039,0.00135826,0.00135826,0.00135826
12,552.79,1.90567,1.68731,0.01046,0.67334,0.59905,0.6597,0.32375,1.89139,1.45232,0.0117,0.00135119,0.00135119,0.00135119
13,597.877,1.94576,1.64902,0.01025,0.65903,0.6059,0.63224,0.31762,1.78331,1.41312,0.01049,0.00134412,0.00134412,0.00134412
14,642.611,1.92063,1.6668,0.01053,0.64941,0.61147,0.63274,0.30942,1.8181,1.54254,0.0096,0.00133704,0.00133704,0.00133704
15,685.797,1.8829,1.56664,0.01021,0.69683,0.53725,0.60457,0.31105,1.84387,1.63422,0.01135,0.00132997,0.00132997,0.00132997
16,728.657,1.87508,1.59536,0.01023,0.75895,0.6539,0.73052,0.36514,1.75001,1.25945,0.00975,0.0013229,0.0013229,0.0013229
17,771.51,1.85658,1.53799,0.01021,0.71376,0.64452,0.71196,0.36869,1.7105,1.2287,0.0096,0.00131582,0.00131582,0.00131582
18,814.326,1.85602,1.47359,0.01004,0.7496,0.62498,0.70077,0.35432,1.74567,1.31167,0.00983,0.00130875,0.00130875,0.00130875
19,857.105,1.84367,1.43853,0.00958,0.68355,0.64818,0.70364,0.3677,1.74569,1.35319,0.01035,0.00130168,0.00130168,0.00130168
20,899.993,1.84707,1.46703,0.01043,0.73622,0.6472,0.71185,0.36862,1.74619,1.26245,0.0094,0.0012946,0.0012946,0.0012946
21,942.741,1.8478,1.45317,0.00964,0.76446,0.65579,0.7238,0.3716,1.70056,1.2811,0.01041,0.00128753,0.00128753,0.00128753
22,985.476,1.81264,1.4383,0.01039,0.7207,0.64907,0.72283,0.36595,1.7237,1.22849,0.00949,0.00128046,0.00128046,0.00128046
23,1028.26,1.80559,1.42515,0.00943,0.77999,0.67375,0.76198,0.40655,1.63928,1.1315,0.00918,0.00127338,0.00127338,0.00127338
24,1071.19,1.83607,1.32959,0.00986,0.72159,0.68279,0.72592,0.36089,1.76726,1.20079,0.01046,0.00126631,0.00126631,0.00126631
25,1113.97,1.76878,1.33666,0.00982,0.72753,0.69812,0.75065,0.38671,1.74646,1.1225,0.00966,0.00125923,0.00125923,0.00125923
26,1156.79,1.78479,1.28464,0.00927,0.7164,0.71159,0.75754,0.39524,1.71616,1.11111,0.00942,0.00125216,0.00125216,0.00125216
27,1199.58,1.79624,1.28199,0.00946,0.76517,0.69497,0.75356,0.39151,1.69538,1.17624,0.00956,0.00124509,0.00124509,0.00124509
28,1242.34,1.78572,1.34405,0.0089,0.76223,0.70104,0.78259,0.40331,1.67567,1.0832,0.00971,0.00123801,0.00123801,0.00123801
