epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.372,1.90634,11.0897,0.0092,0.40731,0.47619,0.41482,0.18924,1.85062,2.29943,0.00966,0.000472779,0.000472779,0.000472779
2,182.887,2.06787,2.68148,0.01117,0.47672,0.47104,0.43886,0.18963,2.06883,2.2792,0.0112,0.00093032,0.00093032,0.00093032
3,269.285,2.1327,2.56176,0.01234,0.50286,0.41438,0.44494,0.18602,2.09999,2.09227,0.01154,0.001369,0.001369,0.001369
4,354.455,2.11694,2.29953,0.01295,0.49819,0.45271,0.43153,0.15347,2.20463,2.14137,0.01287,0.00134412,0.00134412,0.00134412
5,439.286,2.06393,2.19079,0.01175,0.55879,0.53359,0.55007,0.26561,1.93382,1.76211,0.01083,0.00131582,0.00131582,0.00131582
6,524.34,2.1059,2.07986,0.01111,0.49022,0.52414,0.50008,0.24122,1.88921,1.79498,0.01019,0.00128753,0.00128753,0.00128753
7,609.788,2.04777,1.8944,0.01127,0.53662,0.52533,0.5475,0.26665,1.85393,1.78303,0.01045,0.00125923,0.00125923,0.00125923
8,698.104,2.03339,1.92081,0.01151,0.62884,0.59833,0.62945,0.3072,1.83848,1.54217,0.00955,0.00123094,0.00123094,0.00123094
9,783.062,2.00669,1.79076,0.01062,0.59322,0.55198,0.56989,0.27637,1.88907,1.60448,0.01053,0.00120265,0.00120265,0.00120265
10,868.061,1.93567,1.77372,0.0104,0.68625,0.60419,0.6405,0.2977,1.94113,1.72112,0.01112,0.00117435,0.00117435,0.00117435
11,953.508,1.95473,1.72972,0.01016,0.72571,0.65103,0.69424,0.34962,1.75199,1.34281,0.00941,0.00114606,0.00114606,0.00114606
12,1039.03,1.89456,1.60648,0.01046,0.63495,0.64803,0.67276,0.34302,1.72615,1.3968,0.00956,0.00111776,0.00111776,0.00111776
13,1123.85,1.92732,1.61445,0.01047,0.73034,0.65082,0.71354,0.37451,1.74323,1.28717,0.0096,0.00108947,0.00108947,0.00108947
14,1209.15,1.86419,1.57578,0.00988,0.72635,0.66583,0.71613,0.37001,1.74396,1.29966,0.00961,0.00106118,0.00106118,0.00106118
15,1294.76,1.878,1.51048,0.01013,0.70208,0.65272,0.70983,0.35845,1.72352,1.25279,0.00893,0.00103288,0.00103288,0.00103288
16,1380.06,1.87534,1.54291,0.00979,0.75468,0.61576,0.69848,0.35494,1.69664,1.31569,0.00865,0.00100459,0.00100459,0.00100459
17,1465.1,1.83421,1.45256,0.00988,0.73871,0.67589,0.74949,0.38247,1.69674,1.20047,0.0086,0.000976293,0.000976293,0.000976293
18,1550.72,1.77651,1.40698,0.00939,0.74045,0.69247,0.77113,0.40986,1.61922,1.1328,0.00796,0.000947999,0.000947999,0.000947999
19,1635.95,1.78814,1.39879,0.0093,0.79649,0.61158,0.70818,0.34972,1.84246,1.26741,0.01008,0.000919704,0.000919704,0.000919704
20,1721.33,1.78146,1.3662,0.00922,0.81217,0.67801,0.77372,0.41598,1.6166,1.14244,0.00835,0.00089141,0.00089141,0.00089141
21,1806.92,1.794,1.30882,0.00894,0.81304,0.6919,0.78743,0.41771,1.64238,1.05231,0.00893,0.000863116,0.000863116,0.000863116
22,1891.87,1.74636,1.30267,0.00936,0.68312,0.72946,0.76757,0.42096,1.62368,1.08099,0.00829,0.000834822,0.000834822,0.000834822
23,1977.41,1.73069,1.28277,0.00907,0.77088,0.72896,0.79411,0.43157,1.59972,1.05626,0.00849,0.000806528,0.000806528,0.000806528
24,2062.38,1.71698,1.22953,0.00958,0.76045,0.71989,0.79761,0.42002,1.62977,1.04867,0.0087,0.000778233,0.000778233,0.000778233
25,2148.67,1.70983,1.20964,0.00875,0.79941,0.72362,0.80263,0.43445,1.6084,1.01366,0.0086,0.000749939,0.000749939,0.000749939
26,2233.75,1.67576,1.19997,0.00882,0.79124,0.7526,0.81173,0.44782,1.55247,0.98133,0.00798,0.000721645,0.000721645,0.000721645
27,2319,1.68315,1.194,0.00886,0.81367,0.76839,0.84121,0.46444,1.53353,0.92658,0.00792,0.000693351,0.000693351,0.000693351
28,2404.72,1.6547,1.17173,0.00856,0.82485,0.74666,0.82821,0.46165,1.55798,0.92861,0.00835,0.000665057,0.000665057,0.000665057
29,2489.65,1.63786,1.14303,0.00826,0.78591,0.72162,0.79832,0.44638,1.59882,0.95838,0.00821,0.000636762,0.000636762,0.000636762
30,2574.32,1.60622,1.09707,0.00819,0.82226,0.7893,0.85409,0.47984,1.53589,0.90719,0.00824,0.000608468,0.000608468,0.000608468
31,2659.17,1.59673,1.05473,0.0081,0.84659,0.76716,0.82968,0.46347,1.57389,0.87922,0.00835,0.000580174,0.000580174,0.000580174
32,2744.08,1.61093,1.0886,0.00822,0.83318,0.76844,0.84218,0.47482,1.54913,0.91884,0.00795,0.00055188,0.00055188,0.00055188
33,2829.41,1.57059,1.04823,0.00783,0.84789,0.7785,0.85869,0.48596,1.52739,0.85052,0.00839,0.000523586,0.000523586,0.000523586
